concept:teamplaysagainstteam	team plays against team
concept:personleadsorganization_reverse	inverse person leads organization
concept:agriculturalproductgrowinginstateorprovince	agricultural product growing in state or province
concept:agriculturalproductgrowinginstateorprovince_reverse	inverse agricultural product growing in state or province
concept:organizationalsoknownas	organization also known as
concept:organizationalsoknownas_reverse	inverse organization also known as
concept:ceoof	ceo of
concept:ceoof_reverse	inverse ceo of
concept:persongraduatedfromuniversity	person graduated from university
concept:persongraduatedfromuniversity_reverse	inverse person graduated from university
concept:fatherofperson	father of person
concept:fatherofperson_reverse	inverse father of person
concept:competeswith	competes with
concept:competeswith_reverse	inverse competes with
concept:organizationacronymhasname	organization acronym has name
concept:organizationacronymhasname_reverse	inverse organization acronym has name
concept:journalistwritesforpublication	journalist writes for publication
concept:journalistwritesforpublication_reverse	inverse journalist writes for publication
concept:personbornincity	person born in city
concept:personbornincity_reverse	inverse person born in city
concept:languageofuniversity	language of university
concept:languageofuniversity_reverse	inverse language of university
concept:specializationof	specialization of
concept:specializationof_reverse	inverse specialization of
concept:conceptprerequisiteof	concept prerequisite of
concept:conceptprerequisiteof_reverse	inverse concept prerequisite of
concept:politicianusmemberofpoliticalgroup	politician us member of political group
concept:politicianusmemberofpoliticalgroup_reverse	inverse politician us member of political group
concept:sportfansincountry	sport fans in country
concept:sportfansincountry_reverse	inverse sport fans in country
concept:professionusestool	profession uses tool
concept:professionusestool_reverse	inverse profession uses tool
concept:agentbelongstoorganization	agent belongs to organization
concept:agentbelongstoorganization_reverse	inverse agent belongs to organization
concept:awardtrophytournamentisthechampionshipgameofthenationalsport	award trophy tournament is the championship game of the national sport
concept:awardtrophytournamentisthechampionshipgameofthenationalsport_reverse	inverse award trophy tournament is the championship game of the national sport
concept:animalthatfeedoninsect	animal that feed on insect
concept:animalthatfeedoninsect_reverse	inverse animal that feed on insect
concept:hobbiessuchashobbies	hobbies such as hobbies
concept:hobbiessuchashobbies_reverse	inverse hobbies such as hobbies
concept:countrylocatedingeopoliticallocation	country located in geopolitical location
concept:countrylocatedingeopoliticallocation_reverse	inverse country located in geopolitical location
concept:automobilemakercardealersinstateorprovince	automobile maker car dealers in state or province
concept:automobilemakercardealersinstateorprovince_reverse	inverse automobile maker car dealers in state or province
concept:touristattractionsuchastouristattraction	tourist attraction such as tourist attraction
concept:touristattractionsuchastouristattraction_reverse	inverse tourist attraction such as tourist attraction
concept:teamplaysincity	team plays in city
concept:teamplaysincity_reverse	inverse team plays in city
concept:radiostationincity	radio station in city
concept:radiostationincity_reverse	inverse radio station in city
concept:actorstarredinmovie	actor starred in movie
concept:actorstarredinmovie_reverse	inverse actor starred in movie
concept:televisionstationincity	television station in city
concept:televisionstationincity_reverse	inverse television station in city
concept:plantgrowinginplant	plant growing in plant
concept:plantgrowinginplant_reverse	inverse plant growing in plant
concept:personchargedwithcrime	person charged with crime
concept:personchargedwithcrime_reverse	inverse person charged with crime
concept:thinghascolor	thing has color
concept:thinghascolor_reverse	inverse thing has color
concept:beveragecontainsprotein	beverage contains protein
concept:beveragecontainsprotein_reverse	inverse beverage contains protein
concept:personhascitizenship	person has citizenship
concept:personhascitizenship_reverse	inverse person has citizenship
concept:istallerthan	is taller than
concept:istallerthan_reverse	inverse is taller than
concept:athletewinsawardtrophytournament	athlete wins award trophy tournament
concept:athletewinsawardtrophytournament_reverse	inverse athlete wins award trophy tournament
concept:animalsuchasfish	animal such as fish
concept:animalsuchasfish_reverse	inverse animal such as fish
concept:politicianholdsoffice	politician holds office
concept:politicianholdsoffice_reverse	inverse politician holds office
concept:foodcancausedisease	food can cause disease
concept:foodcancausedisease_reverse	inverse food can cause disease
concept:personhasresidenceingeopoliticallocation	person has residence in geopolitical location
concept:personhasresidenceingeopoliticallocation_reverse	inverse person has residence in geopolitical location
concept:automobilemakerdealersincity	automobile maker dealers in city
concept:automobilemakerdealersincity_reverse	inverse automobile maker dealers in city
concept:coachwontrophy	coach won trophy
concept:coachwontrophy_reverse	inverse coach won trophy
concept:parentofperson	parent of person
concept:parentofperson_reverse	inverse parent of person
concept:companyalsoknownas	company also known as
concept:companyalsoknownas_reverse	inverse company also known as
concept:sportusesstadium	sport uses stadium
concept:sportusesstadium_reverse	inverse sport uses stadium
concept:riveremptiesintoriver	river empties into river
concept:riveremptiesintoriver_reverse	inverse river empties into river
concept:buildinglocatedincity	building located in city
concept:buildinglocatedincity_reverse	inverse building located in city
concept:coachesteam	coaches team
concept:coachesteam_reverse	inverse coaches team
concept:animaleatvegetable	animal eat vegetable
concept:animaleatvegetable_reverse	inverse animal eat vegetable
concept:newspaperincity	newspaper in city
concept:newspaperincity_reverse	inverse newspaper in city
concept:hassibling	has sibling
concept:hassibling_reverse	inverse has sibling
concept:arterycalledartery	artery called artery
concept:arterycalledartery_reverse	inverse artery called artery
concept:attractionofcity	attraction of city
concept:attractionofcity_reverse	inverse attraction of city
concept:stateorprovinceisborderedbystateorprovince	state or province is bordered by state or province
concept:stateorprovinceisborderedbystateorprovince_reverse	inverse state or province is bordered by state or province
concept:automobilemakerdealersincountry	automobile maker dealers in country
concept:automobilemakerdealersincountry_reverse	inverse automobile maker dealers in country
concept:hashusband	has husband
concept:hashusband_reverse	inverse has husband
concept:countrycurrency	country currency
concept:countrycurrency_reverse	inverse country currency
concept:citylocatedincountry	city located in country
concept:citylocatedincountry_reverse	inverse city located in country
concept:agriculturalproductcontainchemical	agricultural product contain chemical
concept:agriculturalproductcontainchemical_reverse	inverse agricultural product contain chemical
concept:objectpartofobject	object part of object
concept:objectpartofobject_reverse	inverse object part of object
concept:teamalsoknownas	team also known as
concept:teamalsoknownas_reverse	inverse team also known as
concept:hasofficeincountry	has office in country
concept:hasofficeincountry_reverse	inverse has office in country
concept:thinghasshape	thing has shape
concept:thinghasshape_reverse	inverse thing has shape
concept:agriculturalproductcamefromcountry	agricultural product came from country
concept:agriculturalproductcamefromcountry_reverse	inverse agricultural product came from country
concept:sportsgameteam	sports game team
concept:sportsgameteam_reverse	inverse sports game team
concept:acquired	acquired
concept:acquired_reverse	inverse acquired
concept:academicfieldconcernssubject	academic field concerns subject
concept:academicfieldconcernssubject_reverse	inverse academic field concerns subject
concept:athleteplayssportsteamposition	athlete plays sports team position
concept:athleteplayssportsteamposition_reverse	inverse athlete plays sports team position
concept:sportsgamewinner	sports game winner
concept:sportsgamewinner_reverse	inverse sports game winner
concept:arthropodcalledarthropod	arthropod called arthropod
concept:arthropodcalledarthropod_reverse	inverse arthropod called arthropod
concept:objectfoundinscene	object found in scene
concept:objectfoundinscene_reverse	inverse object found in scene
concept:lakeinstate	lake in state
concept:lakeinstate_reverse	inverse lake in state
concept:ismultipleof	is multiple of
concept:ismultipleof_reverse	inverse is multiple of
concept:airportincity	airport in city
concept:airportincity_reverse	inverse airport in city
concept:personmovedtostateorprovince	person moved to state or province
concept:personmovedtostateorprovince_reverse	inverse person moved to state or province
concept:sportsgamesport	sports games port
concept:sportsgamesport_reverse	inverse sports games port
concept:agriculturalproductgrowninlandscapefeatures	agricultural product grown in landscape features
concept:agriculturalproductgrowninlandscapefeatures_reverse	inverse agricultural product grown in landscape features
concept:fooddecreasestheriskofdisease	food decreases the risk of disease
concept:fooddecreasestheriskofdisease_reverse	inverse food decreases the risk of disease
concept:bankboughtbank	bank bought bank
concept:bankboughtbank_reverse	inverse bank bought bank
concept:citycapitalofcountry	city capital of country
concept:citycapitalofcountry_reverse	inverse city capital of country
concept:mountaininstate	mountain in state
concept:mountaininstate_reverse	inverse mountain in state
concept:coachesinleague	coaches in league
concept:coachesinleague_reverse	inverse coaches in league
concept:teamhomestadium	team home stadium
concept:teamhomestadium_reverse	inverse team home stadium
concept:athleteinjuredhisbodypart	athlete injured his body part
concept:athleteinjuredhisbodypart_reverse	inverse athlete injured his body part
concept:personleadsgeopoliticalorganization	person leads geopolitical organization
concept:personleadsgeopoliticalorganization_reverse	inverse person leads geopolitical organization
concept:invertebratefeedonfood	invertebrate feed on food
concept:invertebratefeedonfood_reverse	inverse invertebrate feed on food
concept:cityalsoknownas	city also known as
concept:cityalsoknownas_reverse	inverse city also known as
concept:plantrepresentemotion	plant represent emotion
concept:plantrepresentemotion_reverse	inverse plant represent emotion
concept:motherofperson	mother of person
concept:motherofperson_reverse	inverse mother of person
