concept_sportsteam_arizona_diamond_backs	Arizona Diamond Backs
concept_athlete_andrew_bailey	Andrew Bailey
concept_sport_baseball	Baseball
concept_county_los_angeles_county	Los Angeles County
concept_visualizablething_losangeles	Losangeles
concept_furniture_bed	Bed
concept_visualizablething_yellow_bedroom	Yellow Bedroom
concept_personus_frank_capra	Frank Capra
concept_movie_life	Life
concept_athlete_kelvin_pichardo	Kelvin Pichardo
concept_writer_neal_asher	Neal Asher
concept_book_the_line_of_polity	The Line Of Polity
concept_musicartist_fiery_furnaces	Fiery Furnaces
concept_musicgenre_indie	Indie
concept_sportsgame_polls	Polls
concept_date_n2004	N2004
concept_personmexico_craig_smith	Craig Smith
concept_city_floor	Floor
concept_weatherphenomenon_air	Air
concept_mollusk_crash	Crash
concept_disease_nsaids	Nsaids
concept_ceo_michael_eisner	Michael Eisner
concept_biotechcompany_the_walt_disney_co_	The Walt Disney Co
concept_city_orange_park	Orange Park
concept_city_florida	Florida
concept_traditionalgame_us_	Us
concept_book_new	New
concept_stateorprovince_illinois	Illinois
concept_city_bloomington	Bloomington
concept_sport_golf	Golf
concept_sportsequipment_practice_balls	Practice Balls
concept_city_duluth	Duluth
concept_visualartist_albert_bierstadt	Albert Bierstadt
concept_visualizablething_painting	Painting
concept_language_sesotho	Sesotho
concept_country_lesotho	Lesotho
concept_politicianus_republican_nominee_john_mccain	Republican Nominee John Mccain
concept_politicianus_barack_obama	Barack Obama
concept_animal_creatures	Creatures
concept_bird_owls	Owls
concept_room_house	House
concept_writer_walker	Walker
concept_county_york_city	York City
concept_governmentorganization_program	Program
concept_month_april	April
concept_book_all_together_dead	All Together Dead
concept_writer_charlaine_harris	Charlaine Harris
concept_book_the_sot_weed_factor	The Sot Weed Factor
concept_professor_john_barth	John Barth
concept_coach_michael_frolik	Michael Frolik
concept_sportsteam_florida_international	Florida International
concept_city_brooklyn	Brooklyn
concept_stateorprovince_new_york	New York
concept_athlete_lleyton_hewitt	Lleyton Hewitt
concept_athlete_tim_henman	Tim Henman
concept_furniture_whirlpool_tub	Whirlpool Tub
concept_room_private_bath	Private Bath
concept_athlete_joe_sakic	Joe Sakic
concept_stadiumoreventvenue_pepsi_center	Pepsi Center
concept_athlete_jamaal_tinsley	Jamaal Tinsley
concept_athlete_granger	Granger
concept_company_clearwire	Clearwire
concept_company_sprint001	Sprint001
concept_insect_mites	Mites
concept_insect_bugs	Bugs
concept_company_microsoft	Microsoft
concept_software_microsoft_office_outlook	Microsoft Office Outlook
concept_plant_statue	Statue
concept_weatherphenomenon_new	New
concept_company_acer_aspire	Acer Aspire
concept_website_gateway	Gateway
concept_buildingfeature_windows	Windows
concept_retailstore_microsoft	Microsoft
concept_drug_tricor	Tricor
concept_biotechcompany_abbott	Abbott
concept_personmexico_derek_jeter	Derek Jeter
concept_sportsteam_yankees	Yankees
concept_musicalbum_stage	Stage
concept_bacteria_streptococcus_pneumoniae	Streptococcus Pneumoniae
concept_disease_pneumonia	Pneumonia
concept_sportsteam_kennesaw_state_owls	Kennesaw State Owls
concept_personmexico_ncaa	Ncaa
concept_company_nextel_communications	Nextel Communications
concept_economicsector_telecommunications	Telecommunications
concept_company_charleston	Charleston
concept_sportsteam_canucks	Canucks
concept_sportsteam_lee_flames	Lee Flames
concept_televisionstation_wlaj	Wlaj
concept_televisionnetwork_abc	ABC
concept_athlete_colt_mccoy	Colt Mccoy
concept_sportsleague_nfl	Nfl
concept_country_republic	Republic
concept_country_azerbaijan	Azerbaijan
concept_jobposition_deputy	Deputy
concept_book_services	Services
concept_weapon_hunting_knives	Hunting Knives
concept_weapon_nuclear_missile	Nuclear Missile
concept_country_italy	Italy
concept_dateliteral_n1945	N1945
concept_perceptionaction_transaction	Transaction
concept_city_riyadh	Riyadh
concept_country_arabia_saudita	Arabia Saudita
concept_terroristorganization_hussein	Hussein
concept_personmexico_ryan_whitney	Ryan Whitney
concept_person_brian_france	Brian France
concept_sportsleague_nascar	Nascar
concept_televisionstation_wntv	Wntv
concept_company_pbs	PBS
concept_animal_chicken001	Chicken001
concept_cheese_fresh_tomato	Fresh Tomato
concept_personmexico_lastings_milledge	Lastings Milledge
concept_director_stanley_kubrick	Stanley Kubrick
concept_movie_dr__strangelove	Dr Strangelove
concept_sportsleague_nascar_sprint_cup	Nascar Sprint Cup
concept_stadiumoreventvenue_martinsville_speedway	Martinsville Speedway
concept_scientist_louis_ferdinand_c_line	Louis Ferdinand C Line
concept_book_journey_to_the_end_of_the_night	Journey To The End Of The Night
concept_eventoutcome_wonderful_experience	Wonderful Experience
concept_sportsteam_new_mexico_state_aggies	New Mexico State Aggies
concept_coach_jose_guillen	Jose Guillen
concept_sportsteam_royals	Royals
concept_city_watsonville	Watsonville
concept_river_pajaro	Pajaro
concept_person_henry001	Henry001
2	2
concept_sportsleague_cfl	CFL
concept_stadiumoreventvenue_percival_molson_stadium	Percival Molson Stadium
concept_eventoutcome_retreat	Retreat
concept_politicsissue_defense	Defense
concept_museum_u_s__department	US Department
concept_company_choicepoint	Choicepoint
concept_ceo_derek_v__smith	Derek V Smith
concept_personus_service_provision	Service Provision
concept_weatherphenomenon_water	Water
concept_musician_tom_verlaine	Tom Verlaine
concept_musicartist_television	Television
concept_arthropod_invertebrates	Invertebrates
concept_crustacean_shrimp	Shrimp
concept_city_freeport	Freeport
concept_mammal_prairie_dogs	Prairie Dogs
concept_sportsteam_louis_browns	Louis Browns
concept_sportsteam_red_sox_this_season	Red Sox This Season
concept_visualizablething_webpage	Webpage
concept_academicfield_industrial_engineering	Industrial Engineering
concept_university_college	College
concept_vegetable_avocado	Avocado
concept_company_dell001	Dell001
concept_ceo_michael_dell	Michael Dell
concept_skiarea_twin_rivers	Twin Rivers
concept_radiostation_new_jersey	New Jersey
concept_politicianus_military_personnel	Military Personnel
concept_crimeorcharge_crimes	Crimes
concept_athlete_daymond_langkow	Daymond Langkow
concept_televisionstation_wsre_tv	Wsre TV
concept_televisionnetwork_pbs	PBS
concept_visualizablething_climate_control	Climate Control
concept_physicalaction_work	Work
concept_date_n1999	N1999
concept_beverage_sour_milk	Sour Milk
concept_beverage_juice	Juice
concept_software_caribbean	Caribbean
concept_academicfield_entrepreneurship	Entrepreneurship
concept_university_institute	Institute
concept_university_search	Search
concept_company_focus	Focus
concept_stateorprovince_va	Va
concept_country_usa	USA
concept_county_celebration	Celebration
concept_personmexico_jack_shafer	Jack Shafer
concept_magazine_slate	Slate
concept_academicfield_biological_sciences	Biological Sciences
concept_sportsteam_philadelphia_flyers	Philadelphia Flyers
concept_sportsteam_rangers	Rangers
concept_weapon_rubber_truncheons	Rubber Truncheons
concept_hotel_hyatt_regency_grand_cypress	Hyatt Regency Grand Cypress
concept_city_orlando	Orlando
concept_bedroomitem_bed	Bed
concept_room_open_plan_living	Open Plan Living
concept_stateorprovince_manitoba	Manitoba
concept_city_winnipeg	Winnipeg
concept_animal_babies	Babies
concept_food_mosquito_larvae	Mosquito Larvae
concept_insect_pests	Pests
concept_insect_cockroaches	Cockroaches
concept_sport_gaelic_games	Gaelic Games
concept_sportsequipment_football	Football
concept_jobposition_duty	Duty
concept_dateliteral_n1943	N1943
concept_furniture_size_bed	Size Bed
concept_officebuildingroom_superior_rooms	Superior Rooms
concept_writer_carlo_collodi	Carlo Collodi
concept_book_pinocchio	Pinocchio
concept_buildingfeature_home	Home
concept_beverage_electric_water	Electric Water
concept_personus_guy_de_maupassant	Guy De Maupassant
concept_book_pierre_and_jean	Pierre And Jean
concept_sportsteam_brewers	Brewers
concept_sportsteam_padres	Padres
concept_bank_jp_morgan	Jp Morgan
concept_country___america	America
concept_bodypart_skin_constrict	Skin Constrict
concept_website_blood	Blood
concept_book_vacation	Vacation
concept_sportsteam_montreal_canadiens	Montreal Canadiens
concept_televisionstation_wvii_tv	Wvii TV
concept_website_abc	ABC
concept_country_venezuela	Venezuela
concept_sportsteam_ncaa_youth_kids	Ncaa Youth Kids
concept_coach_virginia_tech	Virginia Tech
concept_chemical_natural_gas	Natural Gas
concept_chemical_crude_oil	Crude Oil
concept_bakedgood_cookies	Cookies
concept_beverage_dozen_chocolate	Dozen Chocolate
concept_muscle_muscle_tissue	Muscle Tissue
concept_bodypart_system001	System001
concept_clothing_outfits	Outfits
concept_plant_flower	Flower
concept_nongovorganization_forces	Forces
concept_radiostation_syracuse	Syracuse
concept_hospital_suny	Suny
concept_room_occupancy	Occupancy
concept_date_n2009	N2009
concept_actor_peter_sarsgaard	Peter Sarsgaard
concept_person_maggie_gyllenhaal	Maggie Gyllenhaal
concept_drug_doxorubicin	Doxorubicin
concept_disease_breast_cancer	Breast Cancer
concept_perceptionaction_first_meeting	First Meeting
concept_personmexico_ricardo_rincon	Ricardo Rincon
concept_personus_piers_anthony	Piers Anthony
concept_book_question_quest	Question Quest
concept_comedian_darnielle	Darnielle
42.1942900000000,-123.2108900000000	42.1942900000000,-123.2108900000000
concept_city_delano	Delano
concept_stateorprovince_california	California
concept_park_clapham_north	Clapham North
concept_city_london_city	London City
concept_plant_coast_live_oak	Coast Live Oak
concept_plant_trees	Trees
concept_university_alabama	Alabama
concept_coach_mike_shula	Mike Shula
concept_mammal_jaguars	Jaguars
concept_sportsteam_seahawks	Seahawks
concept_awardtrophytournament_super_bowl	Super Bowl
concept_wine_chilled_champagne	Chilled Champagne
concept_ceo_jeffrey_katzenberg	Jeffrey Katzenberg
concept_recordlabel_dreamworks_skg	Dreamworks Skg
concept_book_the_leper_of_saint_giles	The Leper Of Saint Giles
concept_writer_ellis_peters	Ellis Peters
concept_personmexico_nezahualcoyotl	Nezahualcoyotl
concept_creditunion_wisconsin	Wisconsin
concept_coach_barry_alvarez	Barry Alvarez
concept_park_abu_dis	Abu Dis
concept_city_jerusalem	Jerusalem
concept_museum_bata_shoe_museum	Bata Shoe Museum
concept_city_toronto	Toronto
concept_county_cooperative_institute	Cooperative Institute
40.0077800000000,-105.2714700000000	40.0077800000000,-105.2714700000000
concept_automobilemaker_nissan	Nissan
concept_visualartform_quest	Quest
concept_televisionstation_woai_tv	Woai TV
concept_city_san_antonio	San Antonio
concept_sportsteam_mavs	Mavs
concept_sportsteam_boston_celtics	Boston Celtics
concept_stateorprovince_states	States
concept_stateorprovince_un	UN
concept_animal_children	Children
concept_disease_autism_spectrum_disorders	Autism Spectrum Disorders
concept_televisionstation_ktrv	Ktrv
concept_televisionnetwork_fox	Fox
concept_bakedgood_delight	Delight
concept_beverage_chocolate	Chocolate
concept_sportsteam_carolina_panthers	Carolina Panthers
concept_athlete_rafael_furcal	Rafael Furcal
concept_sportsteam_dodgers	Dodgers
concept_person_welch	Welch
concept_bank_ge	Ge
concept_mammal_wild_pigs	Wild Pigs
concept_personus_cs_lewis	Cs Lewis
concept_musicartist_the_chronicles_of_narnia	The Chronicles Of Narnia
concept_company_primedia	Primedia
concept_academicfield_media	Media
concept_musicgenre_american_folk	American Folk
concept_musicgenre_rock	Rock
concept_coach_p_j__carlesimo	P J Carlesimo
concept_athlete_p_j__walters	P J Walters
concept_city_newburyport	Newburyport
concept_river_merrimac	Merrimac
concept_sportsteam_dallas_cowboys	Dallas Cowboys
concept_city_texas	Texas
concept_island_allen	Allen
concept_county_wheat_ridge_high_school	Wheat Ridge High School
39.7636000000000,-105.1036000000000	39.7636000000000,-105.1036000000000
concept_geometricshape_peak	Peak
concept_transportation_csx	Csx
concept_personmexico_thomas_ward	Thomas Ward
concept_book_the_sins_of_the_wolf	The Sins Of The Wolf
concept_writer_anne_perry	Anne Perry
concept_chef_lauren_deen	Lauren Deen
concept_city_seattle	Seattle
concept_geopoliticallocation_national	National
concept_writer_jim_carr	Jim Carr
35.6581500000000,-83.5198900000000	35.6581500000000,-83.5198900000000
concept_person_bernie_mac003	Bernie Mac003
50	50
concept_weapon_barrel_shotgun	Barrel Shotgun
concept_personcanada_pamela_anderson	Pamela Anderson
concept_person_rick_salomon	Rick Salomon
concept_company_university_of_virginia_engineering_school	University Of Virginia Engineering School
concept_person_arthur_garson	Arthur Garson
concept_city_kerrville	Kerrville
concept_stateorprovince_texas	Texas
concept_sportsteam_sec_gear	Sec Gear
concept_sportsleague_ncaa	Ncaa
concept_city_miles_city	Miles City
concept_stateorprovince_montana	Montana
concept_book_marooned_in_realtime	Marooned In Realtime
concept_writer_vernor_vinge	Vernor Vinge
concept_musicartist_gary_moore	Gary Moore
concept_musicinstrument_guitar	Guitar
concept_politicsissue_experience	Experience
concept_visualizableobject_shirt	Shirt
concept_clothing_sweater	Sweater
concept_sportsteam_liverpool_john_moores_university	Liverpool John Moores University
concept_sportsteam_man_utd	Man Utd
concept_clothing_jacket	Jacket
concept_clothing_overalls	Overalls
concept_personeurope_federer	Federer
concept_athlete_andre_agassi_and_steffi_graf	Andre Agassi And Steffi Graf
concept_weatherphenomenon_two	Two
concept_city_cottage	Cottage
concept_athlete_shaq_o_neal	Shaq O Neal
concept_stadiumoreventvenue_us_airways_center	Us Airways Center
concept_musicartist_low	Low
concept_governmentorganization_u_s__food_and_drug_administration	US Food And Drug Administration
concept_dateliteral_n2005	N2005
concept_company_winter	Winter
concept_month_may	May
concept_agriculturalproduct_flowers	Flowers
concept_insect_colorful_butterflies	Colorful Butterflies
concept_musicalbum_system	System
concept_date_n2003	N2003
concept_politicianus_mike_castle	Mike Castle
concept_jobposition_rep	Rep
concept_disease_multiple_sclerosis	Multiple Sclerosis
concept_transportation_skytrain	Skytrain
concept_city_vancouver	Vancouver
concept_athlete_jason_bergmann	Jason Bergmann
concept_emotion_depression	Depression
concept_disease_depressive_disorders	Depressive Disorders
concept_city_new_paltz	New Paltz
concept_company_new_york	New York
concept_personus_orlando_hudson	Orlando Hudson
concept_sportsleague_mlb	Mlb
concept_athlete_mark_brunell	Mark Brunell
concept_sport_football	Football
concept_governmentorganization_cms	Cms
concept_county_personal_injury	Personal Injury
concept_drug_alimta	Alimta
concept_biotechcompany_eli_lilly	Eli Lilly
concept_company_ryanair001	Ryanair001
concept_city_charleroi	Charleroi
concept_profession_professionals	Professionals
concept_profession_orthopaedic_surgeons	Orthopaedic Surgeons
concept_city_police	Police
concept_date_n1993	N1993
concept_politicianus_biden	Biden
concept_company_sony	Sony
concept_economicsector_computer	Computer
concept_beverage_maple_syrup	Maple Syrup
concept_visualartist_jack_vettriano	Jack Vettriano
concept_visualartform_art	Art
concept_sport_skiing	Skiing
concept_country_slovakia	Slovakia
concept_politicianus_arnold_schwarzenegger	Arnold Schwarzenegger
concept_politicaloffice_governor	Governor
concept_city_montgomery	Montgomery
concept_stateorprovince_newjersey	Newjersey
concept_athlete_chuck_james	Chuck James
concept_sportsteam_chowan_braves	Chowan Braves
concept_person_michael002	Michael002
concept_university_law_school	Law School
concept_bank_ing_group	Ing Group
concept_economicsector_insurance	Insurance
concept_museum_dhaka	Dhaka
concept_buildingfeature_american	American
concept_city_san_francisco_last_month	San Francisco Last Month
concept_comedian_john_shea	John Shea
concept_website_the_san_francisco_chronicle	The San Francisco Chronicle
concept_programminglanguage_services	Services
concept_visualizableattribute_quality_water	Quality Water
concept_clothing_brown_pants	Brown Pants
concept_musician_mozart	Mozart
concept_musicinstrument_viola	Viola
concept_personaustralia_clerk	Clerk
concept_movie_contact	Contact
concept_bird_flamingos	Flamingos
concept_weapon_atomic_weapon	Atomic Weapon
concept_country_iran	Iran
concept_drug_avonex	Avonex
concept_disease_side_effects	Side Effects
concept_automobilemaker_n2_0	N2 0
concept_personaustralia_alister_mackenzie	Alister Mackenzie
concept_insect_butterflies	Butterflies
concept_clothing_wear	Wear
concept_plant_bamboo	Bamboo
concept_governmentorganization_print	Print
concept_city_download	Download
concept_chemical_petroleum	Petroleum
concept_chemical_hydrocarbons	Hydrocarbons
concept_sportsteamposition_offensive_line	Offensive Line
concept_agriculturalproduct_livestock	Livestock
concept_mammal_hogs	Hogs
concept_mammal_rabbits	Rabbits
concept_mammal_rodents	Rodents
concept_country_career	Career
concept_sportsteam_tampa_bay_rays	Tampa Bay Rays
concept_drug_amoxicillin	Amoxicillin
concept_physiologicalcondition_antibiotics	Antibiotics
concept_company_national_public_radio	National Public Radio
concept_academicfield_news	News
concept_bank_citibank	Citibank
concept_country_indonesia	Indonesia
concept_island_jaluit_atoll	Jaluit Atoll
6.0000000000000,169.5833300000000	6.0000000000000,169.5833300000000
concept_governmentorganization_california_energy_commission	California Energy Commission
concept_stateorprovince_wa	Wa
concept_chemical_uranium	Uranium
concept_chemical_chemicals	Chemicals
concept_fish_salmon	Salmon
concept_bakedgood_french_bread	French Bread
concept_athlete_chris_tillman	Chris Tillman
concept_sportsteam_colts	Colts
concept_politicianus_jeb_bush	Jeb Bush
concept_stateorprovince_florida	Florida
concept_profession_oncologists	Oncologists
concept_profession_cancer_specialists	Cancer Specialists
concept_date_wife	Wife
concept_dateliteral_n1950	N1950
concept_sportsteam_ohio_state_university	Ohio State University
concept_sport_basketball	Basketball
concept_nondiseasecondition_evaluation	Evaluation
concept_date_n2001	N2001
concept_coach_vincent_lecavalier	Vincent Lecavalier
concept_city_pittstown	Pittstown
concept_stateorprovince_new_jersey	New Jersey
concept_bodypart_ventricles001	Ventricles001
concept_vein_lungs	Lungs
concept_politicaloffice_legislature	Legislature
concept_dateliteral_n2002	N2002
concept_recordlabel_friends	Friends
concept_economicsector_insurance_coverage	Insurance Coverage
concept_city_elk_grove_village	Elk Grove Village
concept_food_eggs	Eggs
concept_coach_rusty_brown	Rusty Brown
concept_newspaper_amny	Amny
34.5000000000000,100.0000000000000	34.5000000000000,100.0000000000000
concept_buildingfeature_door_panels	Door Panels
concept_buildingmaterial_glass	Glass
concept_writer_bhargavi	Bhargavi
19.8833300000000,85.5833300000000	19.8833300000000,85.5833300000000
concept_stateorprovince_ole_miss	Ole Miss
concept_coach_orgeron	Orgeron
concept_company_pembina_institute	Pembina Institute
concept_person_chris_severson_baker	Chris Severson Baker
concept_company_marriott_international001	Marriott International001
concept_city_bethesda	Bethesda
concept_academicfield_asylum	Asylum
concept_sportsteam_philadelphia_phillies	Philadelphia Phillies
concept_city_amissville	Amissville
concept_stateorprovince_virginia	Virginia
concept_date_n1977	N1977
concept_athlete_chipper_jones	Chipper Jones
concept_dateliteral_n2006	N2006
concept_website_clients	Clients
concept_company_red_hat_software	Red Hat Software
concept_city_durham	Durham
concept_academicfield_science	Science
concept_academicfield_human_computer_interaction	Human Computer Interaction
concept_agriculturalproduct_dressing	Dressing
concept_vegetable_pepper	Pepper
concept_river_don	Don
concept_athlete_rick_pitino	Rick Pitino
concept_stadiumoreventvenue_td_garden	Td Garden
concept_personmexico_david_garrard	David Garrard
concept_city_murray	Murray
concept_stateorprovince_minnesota	Minnesota
concept_politicianus_john_engler	John Engler
concept_stateorprovince_michigan	Michigan
concept_athlete_jay_pandolfo	Jay Pandolfo
concept_stadiumoreventvenue_prudential_center_2	Prudential Center 2
concept_beverage_lemon_juice	Lemon Juice
concept_vegetable_garlic	Garlic
concept_personcanada_marriage	Marriage
concept_televisionstation_wneg_tv	Wneg TV
concept_televisionnetwork_cbs	Cbs
concept_mountain_shuksan	Shuksan
48.8396775000000,-121.7595200000000	48.8396775000000,-121.7595200000000
concept_profession_clinicians	Clinicians
concept_profession_physicians	Physicians
concept_furniture_beds	Beds
concept_officebuildingroom_sitting_room	Sitting Room
concept_book_earth_is_room_enough	Earth Is Room Enough
concept_writer_isaac_asimov	Isaac Asimov
concept_musicartist_orange	Orange
concept_coach_greg_robinson	Greg Robinson
concept_stateorprovince_kansas	Kansas
concept_mammal_questions	Questions
concept_scientificterm_information_contact	Information Contact
concept_university_ball_state	Ball State
concept_university_state_university	State University
concept_ceo_ramalinga_raju	Ramalinga Raju
concept_biotechcompany_satyam	Satyam
concept_weapon_laboratory	Laboratory
concept_month_september	September
concept_sportsteam_washburn_ichabods	Washburn Ichabods
concept_city_mckinney	Mckinney
concept_country_syria	Syria
concept_eventoutcome_vicinity	Vicinity
concept_athlete_pelfrey	Pelfrey
concept_sportsteam_new_york_mets	New York Mets
concept_sportsteam_new_jersey_nets	New Jersey Nets
concept_sportsteam_cavaliers	Cavaliers
concept_visualizablething_purvis	Purvis
concept_person_kevin	Kevin
concept_city_casper	Casper
concept_visualizablescene_north_platte	North Platte
concept_male_thor	Thor
concept_person_thrud	Thrud
concept_personaustralia_sir_walter_scott	Sir Walter Scott
concept_televisionshow_ivanhoe	Ivanhoe
concept_mldataset_nc	NC
concept_politicianus_u_s__president_george_bush	US President George Bush
concept_politicianus_bush	Bush
concept_person_tony_stewart	Tony Stewart
concept_person_jeff	Jeff
concept_room_hall	Hall
concept_eventoutcome_setback	Setback
concept_jobposition_facility	Facility
concept_automobilemaker_ford	Ford
concept_automobilemodel_maverick	Maverick
concept_university_national_center	National Center
concept_male_yogi_berra	Yogi Berra
concept_coach_carolina_panthers	Carolina Panthers
concept_newspaper_journal	Journal
concept_newspaper_los_angeles_times	Los Angeles Times
concept_governmentorganization_applications	Applications
concept_governmentorganization_doe	Doe
concept_governmentorganization_department_of_energy	Department Of Energy
concept_beverage_margarita	Margarita
concept_sportsteam_pittsburg_state_gorillas	Pittsburg State Gorillas
concept_person_david004	David004
concept_female_joseph	Joseph
concept_female_mary	Mary
concept_buildingfeature_shower_doors	Shower Doors
concept_lake_new	New
concept_transportation_citizens	Citizens
concept_emotion_field	Field
concept_vehicle_tanks	Tanks
concept_animal_birds002	Birds002
concept_bird_seagulls	Seagulls
concept_eventoutcome_report	Report
concept_date_n1996	N1996
concept_mammal_great_apes	Great Apes
concept_mammal_primates	Primates
concept_bank_kidder_peabody	Kidder Peabody
concept_economicsector_investment	Investment
concept_writer_henry_james	Henry James
concept_book_the_portrait_of_a_lady	The Portrait Of A Lady
concept_weapon_national	National
concept_city_lomita	Lomita
concept_governmentorganization_law	Law
concept_ethnicgroup_germans	Germans
concept_date_n1941	N1941
concept_radiostation_nevada	Nevada
concept_company_nbc	Nbc
concept_journalist_andrea_mitchell	Andrea Mitchell
concept_journalist_sheldon_ocker	Sheldon Ocker
concept_newspaper_akron_beacon_journal	Akron Beacon Journal
concept_personeurope_st___joachim	St Joachim
42.2750800000000,-82.6331200000000	42.2750800000000,-82.6331200000000
concept_disease_intellectual_disabilities	Intellectual Disabilities
concept_buildingfeature_back	Back
concept_bone_elbows	Elbows
concept_company_transavia_com	Transavia Com
concept_city_amsterdam	Amsterdam
concept_bird_n1_bird	N1 Bird
72.6675600000000,-123.5059800000000	72.6675600000000,-123.5059800000000
concept_visualizableobject_jersey	Jersey
concept_clothing_stripes	Stripes
concept_furniture_pull_out	Pull Out
concept_room_area	Area
concept_politicalparty_republic	Republic
concept_currency_sierra_leone	Sierra Leone
concept_furniture_double_bed	Double Bed
concept_room_guest	Guest
concept_televisionstation_wrfg	Wrfg
concept_city_atlanta	Atlanta
concept_person_lucas	Lucas
concept_city_york	York
concept_televisionstation_kbsv	Kbsv
concept_city_modesto	Modesto
concept_televisionstation_ksre	Ksre
concept_agriculturalproduct_chocolate	Chocolate
concept_visualizablething_slice	Slice
concept_programminglanguage_the_new	The New
concept_island_new_york_city_metropolitan_area	New York City Metropolitan Area
concept_city_monroeville	Monroeville
concept_company_nature_air	Nature Air
concept_city_san_jose	San Jose
concept_biotechcompany_fluor	Fluor
concept_academicfield_engineering	Engineering
concept_beverage__	Beverage
concept_visualizablething_essential_oil	Essential Oil
concept_buildingfeature_three_gates	Three Gates
22.0538300000000,113.9995400000000	22.0538300000000,113.9995400000000
concept_athlete_awvee_storey	Awvee Storey
concept_sportsleague_nba	NBA
concept_athlete_martina_hingis	Martina Hingis
concept_athlete_lindsay_davenport	Lindsay Davenport
concept_mlarea_concept	Concept
concept_city_articles	Articles
concept_tradeunion_search	Search
concept_company_merill_lynch	Merill Lynch
concept_musician_brian_setzer	Brian Setzer
concept_female_agrippina	Agrippina
50.9333300000000,6.9500000000000	50.9333300000000,6.9500000000000
concept_room_bonus_room	Bonus Room
concept_county_tisch_school	Tisch School
40.7311100000000,-73.9950000000000	40.7311100000000,-73.9950000000000
concept_book_snow_crash	Snow Crash
concept_personus_neal_stephenson	Neal Stephenson
concept_city_installation	Installation
concept_sportsequipment_contractor	Contractor
40.8003800000000,-72.9162200000000	40.8003800000000,-72.9162200000000
concept_continent_europe	Europe
concept_personasia_number	Number
concept_visualizablething_dashi	Dashi
concept_mammal_rats	Rats
concept_disease_obesity	Obesity
concept_language_english	English
concept_university_virginia_tech	Virginia Tech
concept_room_third_guest_bedroom	Third Guest Bedroom
concept_hospital_friarage_hospital	Friarage Hospital
54.3428200000000,-1.4302800000000	54.3428200000000,-1.4302800000000
concept_sportsequipment_board	Board
concept_academicfield_association	Association
concept_city_angwin	Angwin
concept_furniture_berth	Berth
concept_visualizablething_guest_cabin	Guest Cabin
concept_museum_u_s__senate	US Senate
concept_athlete_eric_milton	Eric Milton
concept_city_rio_rancho	Rio Rancho
